Link,Name,Price,Color
https://www.carpages.ca//new-cars/british-columbia/vernon/2022-ford-escape-9278128/,2022 Ford Escape,"$46,819                            
+ tax & lic",Oxford White
https://www.carpages.ca//used-cars/manitoba/winnipeg/2013-ford-c-max-9278029/,2013 Ford C-MAX,"$14,995                            
+ tax & lic",Red
https://www.carpages.ca//new-cars/manitoba/brandon/2023-ford-f-150-9277738/,2023 Ford F-150,"$105,280                            
+ tax & lic",STAR WHITE METALLIC TRI-COAT
https://www.carpages.ca//new-cars/manitoba/brandon/2022-ford-f-150-9277723/,2022 Ford F-150,"$68,125                            
+ tax & lic",Iconic Silver Metallic
https://www.carpages.ca//new-cars/manitoba/brandon/2022-ford-f-150-9277717/,2022 Ford F-150,"$63,115                            
+ tax & lic",Oxford White
https://www.carpages.ca//new-cars/manitoba/brandon/2022-ford-f-150-9277714/,2022 Ford F-150,"$60,755                            
+ tax & lic",Iconic Silver Metallic
https://www.carpages.ca//new-cars/manitoba/brandon/2022-ford-f-150-9277705/,2022 Ford F-150,"$67,415                            
+ tax & lic",Oxford White
https://www.carpages.ca//new-cars/manitoba/brandon/2022-ford-f-150-9277693/,2022 Ford F-150,"$60,835                            
+ tax & lic",Iconic Silver Metallic
https://www.carpages.ca//new-cars/manitoba/brandon/2022-ford-f-150-9277690/,2022 Ford F-150,"$67,345                            
+ tax & lic",Oxford White
https://www.carpages.ca//new-cars/manitoba/brandon/2022-ford-f-150-9277684/,2022 Ford F-150,"$67,235                            
+ tax & lic",Oxford White
https://www.carpages.ca//new-cars/manitoba/brandon/2022-ford-f-150-9277681/,2022 Ford F-150,"$67,685                            
+ tax & lic",Oxford White
https://www.carpages.ca//new-cars/manitoba/brandon/2022-ford-f-150-9277678/,2022 Ford F-150,"$65,405                            
+ tax & lic",Oxford White
https://www.carpages.ca//new-cars/manitoba/brandon/2022-ford-f-150-9277675/,2022 Ford F-150,"$67,435                            
+ tax & lic",Oxford White
https://www.carpages.ca//new-cars/manitoba/brandon/2022-ford-f-150-9277672/,2022 Ford F-150,"$67,295                            
+ tax & lic",Oxford White
https://www.carpages.ca//new-cars/manitoba/brandon/2023-ford-transit-9277666/,2023 Ford Transit,"$62,790                            
+ tax & lic",Oxford White
https://www.carpages.ca//new-cars/manitoba/brandon/2023-ford-f-150-9277651/,2023 Ford F-150,"$76,055                            
+ tax & lic",Avalanche
https://www.carpages.ca//new-cars/manitoba/brandon/2022-ford-f-150-9277648/,2022 Ford F-150,"$67,095                            
+ tax & lic",Oxford White
https://www.carpages.ca//new-cars/ontario/peterborough/2022-ford-f-250-9277501/,2022 Ford F-250,"$57,754                            
+ tax & lic",Oxford White
https://www.carpages.ca//used-cars/ontario/mississauga/2018-ford-f-150-9277435/,2018 Ford F-150,"$32,998                            
+ tax & lic",SHADOW BLACK
https://www.carpages.ca//new-cars/ontario/mississauga/2020-ford-f-150-9277417/,2020 Ford F-150,"$47,123                            
+ tax & lic",Agate Black
https://www.carpages.ca//used-cars/ontario/mississauga/2019-ford-f-150-9277399/,2019 Ford F-150,"$39,998                            
+ tax & lic",Agate Black
https://www.carpages.ca//used-cars/ontario/mississauga/2019-ford-f-150-9277396/,2019 Ford F-150,"$38,998                            
+ tax & lic",Blue Jeans Metallic
https://www.carpages.ca//used-cars/saskatchewan/moose-jaw/2022-mercedes-benz-cls-class-9277363/,2022 Mercedes-Benz CLS-Class,"$129,987                            
+ tax & lic",Selenite Grey Metallic
https://www.carpages.ca//used-cars/british-columbia/surrey/2021-jeep-wrangler-9277249/,2021 Jeep Wrangler,"$74,998                            
+ tax & lic",Black
https://www.carpages.ca//new-cars/ontario/north-bay/2023-hyundai-tucson-hybrid-9277168/,2023 Hyundai Tucson Hybrid,"$44,474                            
+ tax & lic",Deep Sea Blue
https://www.carpages.ca//new-cars/ontario/north-bay/2022-hyundai-santa-fe-9277153/,2022 Hyundai Santa Fe,"$50,924                            
+ tax & lic",Magnetic Force
https://www.carpages.ca//new-cars/ontario/simcoe/2023-hyundai-tucson-hybrid-9277051/,2023 Hyundai Tucson Hybrid,"$43,134                            
+ tax & lic",Deep Sea Blue Pearl
https://www.carpages.ca//new-cars/ontario/simcoe/2023-hyundai-sonata-9277045/,2023 Hyundai Sonata,"$44,384                            
+ tax & lic",Abyss Black Pearl
https://www.carpages.ca//used-cars/new-brunswick/fredericton/2018-toyota-rav4-9276508/,2018 Toyota RAV4,"$34,990                            
+ tax & lic",Blue
https://www.carpages.ca//used-cars/manitoba/winnipeg/2021-tesla-model-3-9276157/,2021 Tesla Model 3,"$71,991                            
+ tax & lic",Pearl White Multi-Coat
https://www.carpages.ca//new-cars/ontario/ancaster/2022-toyota-venza-9275854/,2022 Toyota Venza,"$39,150                            
+ tax & lic",White
https://www.carpages.ca//used-cars/ontario/brampton/2023-toyota-camry-9275209/,2023 Toyota Camry,"$48,900                            
+ tax & lic",Red
https://www.carpages.ca//new-cars/ontario/watford/2022-ford-f-150-9275191/,2022 Ford F-150,"$62,345                            
+ tax & lic",Black
https://www.carpages.ca//new-cars/ontario/listowel/2023-kia-sportage-9275080/,2023 Kia Sportage,"$39,344                            
+ tax & lic",Red
https://www.carpages.ca//used-cars/ontario/brantford/2021-tesla-model-3-9275026/,2021 Tesla Model 3,"$54,998                            
+ tax & lic",Red
https://www.carpages.ca//used-cars/manitoba/brandon/2018-hyundai-ioniq-hybrid-9274792/,2018 Hyundai Ioniq Hybrid,"$24,998                            
+ tax & lic",Grey
https://www.carpages.ca//used-cars/ontario/georgetown/2023-toyota-tundra-9274762/,2023 Toyota Tundra,"$75,969                            
+ tax & lic",Grey
https://www.carpages.ca//new-cars/prince-edward-island/charlottetown/2023-kia-sportage-9274684/,2023 Kia Sportage,"$38,745                            
+ tax & lic",White
https://www.carpages.ca//used-cars/ontario/north-york/2008-honda-civic-9274615/,2008 Honda Civic,"$7,400                            
+ tax & lic",Gray
https://www.carpages.ca//used-cars/ontario/milton/2013-toyota-camry-9274573/,2013 Toyota Camry,"$13,995                            
+ tax & lic",Grey
https://www.carpages.ca//used-cars/ontario/oakville/2010-toyota-prius-9274510/,2010 Toyota Prius,"$11,995                            
+ tax & lic",White
https://www.carpages.ca//used-cars/ontario/london/2013-tesla-model-s-9274492/,2013 Tesla Model S,"$32,995                            
+ tax & lic",Red
https://www.carpages.ca//new-cars/saskatchewan/regina/2022-jeep-grand-cherokee-9273994/,2022 Jeep Grand Cherokee,"$97,584                            
+ tax & lic",Diamond Black Crystal Pearl
https://www.carpages.ca//used-cars/ontario/timmins/2017-kia-optima-9273442/,2017 Kia Optima,"$26,790                            
+ tax & lic",Black
https://www.carpages.ca//used-cars/ontario/mississauga/2014-dodge-grand-caravan-9273178/,2014 Dodge Grand Caravan,"$7,995                            
+ tax & lic",Maximum Steel Metallic Clearcoat
https://www.carpages.ca//used-cars/ontario/mississauga/2015-ford-f-150-9273175/,2015 Ford F-150,"$19,995                            
+ tax & lic",Oxford White
https://www.carpages.ca//used-cars/ontario/mississauga/2015-ford-f-150-9273169/,2015 Ford F-150,"$15,995                            
+ tax & lic",Tuxedo Black Metallic
https://www.carpages.ca//new-cars/saskatchewan/moose-jaw/2023-ford-f-150-9273157/,2023 Ford F-150,"$76,755                            
+ tax & lic",Oxford White
https://www.carpages.ca//used-cars/british-columbia/courtenay/2018-chevrolet-bolt-9272941/,2018 Chevrolet Bolt,"$37,998                            
+ tax & lic",White
https://www.carpages.ca//used-cars/ontario/north-bay/2019-toyota-prius-9272377/,2019 Toyota Prius,"$34,768                            
+ tax & lic",Electric Storm Blue
https://www.carpages.ca//used-cars/ontario/brampton/2019-mercedes-benz-gl350-9272152/,2019 Mercedes-Benz GL350,"$49,995                            
+ tax & lic",Grey
https://www.carpages.ca//used-cars/ontario/whitby/2022-tesla-model-y-9272032/,2022 Tesla Model Y,"$84,988                            
+ tax & lic",Pearl White Multi-Coat
https://www.carpages.ca//used-cars/ontario/whitby/2019-hyundai-ioniq-9272023/,2019 Hyundai IONIQ,"$36,988                            
+ tax & lic",Phantom Black Pearl
